copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
82,__myl_AddSqrtDivMulMulAddTranReshCast_myl162_3,1,/model/block3.8/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.8/attn/q/MatMul_myl167_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Half,1x484x320
83,/model/block3.8/attn/sr/Conv,0,/model/block3.8/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl167_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Half,1x320x11x11
84,__myl_CastAddMeanSubMulMeanCast_myl162_2,0,/model/block3.7/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl167_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6014 + ONNXTRT_Broadcast_1729.../model/block3.8/mlp/dwconv/Transpose + /model/block3.8/mlp/dwconv/Reshape]},Half,1x484x320
85,__myl_Add_myl167_8,0,/model/block3.8/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.8/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.8/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.8/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
86,__myl_FcAdd_myl167_5,0,/model/block3.8/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6047 + ONNXTRT_Broadcast_1813.../model/block3.9/attn/Transpose_1 + /model/block3.9/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl171_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6047 + ONNXTRT_Broadcast_1813.../model/block3.9/attn/Transpose_1 + /model/block3.9/attn/Reshape_1]},Float,1x484x320
87,__myl_AddSqrtDivMulMulAddTranReshCast_myl171_3,1,/model/block3.9/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.9/attn/q/MatMul_myl176_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Half,1x484x320
88,/model/block3.9/attn/sr/Conv,0,/model/block3.9/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl176_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Half,1x320x11x11
89,__myl_CastAddMeanSubMulMeanCast_myl171_2,0,/model/block3.8/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl176_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6048 + ONNXTRT_Broadcast_1825.../model/block3.9/mlp/dwconv/Transpose + /model/block3.9/mlp/dwconv/Reshape]},Half,1x484x320
90,__myl_Add_myl176_8,0,/model/block3.9/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.9/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.9/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.9/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
91,__myl_FcAdd_myl176_5,0,/model/block3.9/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6081 + ONNXTRT_Broadcast_1909.../model/block3.10/attn/Transpose_1 + /model/block3.10/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl180_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6081 + ONNXTRT_Broadcast_1909.../model/block3.10/attn/Transpose_1 + /model/block3.10/attn/Reshape_1]},Float,1x484x320
92,__myl_AddSqrtDivMulMulAddTranReshCast_myl180_3,1,/model/block3.10/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.10/attn/q/MatMul_myl185_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Half,1x484x320
93,/model/block3.10/attn/sr/Conv,0,/model/block3.10/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl185_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Half,1x320x11x11
94,__myl_CastAddMeanSubMulMeanCast_myl180_2,0,/model/block3.9/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl185_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6082 + ONNXTRT_Broadcast_1921.../model/block3.10/mlp/dwconv/Transpose + /model/block3.10/mlp/dwconv/Reshape]},Half,1x484x320
95,__myl_Add_myl185_8,0,/model/block3.10/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.10/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.10/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.10/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
96,__myl_FcAdd_myl185_5,0,/model/block3.10/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6115 + ONNXTRT_Broadcast_2005.../model/block3.11/attn/Transpose_1 + /model/block3.11/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl189_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6115 + ONNXTRT_Broadcast_2005.../model/block3.11/attn/Transpose_1 + /model/block3.11/attn/Reshape_1]},Float,1x484x320
97,__myl_AddSqrtDivMulMulAddTranReshCast_myl189_3,1,/model/block3.11/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.11/attn/q/MatMul_myl194_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Half,1x484x320
98,/model/block3.11/attn/sr/Conv,0,/model/block3.11/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl194_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Half,1x320x11x11
99,__myl_CastAddMeanSubMulMeanCast_myl189_2,0,/model/block3.10/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl194_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6116 + ONNXTRT_Broadcast_2017.../model/block3.11/mlp/dwconv/Transpose + /model/block3.11/mlp/dwconv/Reshape]},Half,1x484x320
100,__myl_Add_myl194_8,0,/model/block3.11/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.11/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.11/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.11/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
101,__myl_FcAdd_myl194_5,0,/model/block3.11/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6149 + ONNXTRT_Broadcast_2101.../model/block3.12/attn/Transpose_1 + /model/block3.12/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl198_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6149 + ONNXTRT_Broadcast_2101.../model/block3.12/attn/Transpose_1 + /model/block3.12/attn/Reshape_1]},Float,1x484x320
102,__myl_AddSqrtDivMulMulAddTranReshCast_myl198_3,1,/model/block3.12/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.12/attn/q/MatMul_myl203_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x484x320
103,/model/block3.12/attn/sr/Conv,0,/model/block3.12/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl203_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x320x11x11
104,__myl_CastAddMeanSubMulMeanCast_myl198_2,0,/model/block3.11/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl203_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6150 + ONNXTRT_Broadcast_2113.../model/block3.12/mlp/dwconv/Transpose + /model/block3.12/mlp/dwconv/Reshape]},Half,1x484x320
105,__myl_Add_myl203_8,0,/model/block3.12/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.12/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.12/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.12/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
106,__myl_FcAdd_myl203_5,0,/model/block3.12/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6183 + ONNXTRT_Broadcast_2197.../model/block3.13/attn/Transpose_1 + /model/block3.13/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl207_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6183 + ONNXTRT_Broadcast_2197.../model/block3.13/attn/Transpose_1 + /model/block3.13/attn/Reshape_1]},Float,1x484x320
107,__myl_AddSqrtDivMulMulAddTranReshCast_myl207_3,1,/model/block3.13/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.13/attn/q/MatMul_myl212_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x484x320
108,/model/block3.13/attn/sr/Conv,0,/model/block3.13/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl212_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x320x11x11
109,__myl_CastAddMeanSubMulMeanCast_myl207_2,0,/model/block3.12/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl212_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x484x320
110,__myl_Add_myl212_8,0,/model/block3.13/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.13/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.13/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.13/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
111,__myl_FcAdd_myl212_5,0,/model/block3.13/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6217 + ONNXTRT_Broadcast_2293.../model/block3.14/attn/Transpose_1 + /model/block3.14/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl216_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6217 + ONNXTRT_Broadcast_2293.../model/block3.14/attn/Transpose_1 + /model/block3.14/attn/Reshape_1]},Float,1x484x320
112,__myl_AddSqrtDivMulMulAddTranReshCast_myl216_3,1,/model/block3.14/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.14/attn/q/MatMul_myl221_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x484x320
113,/model/block3.14/attn/sr/Conv,0,/model/block3.14/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl221_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x320x11x11
114,__myl_CastAddMeanSubMulMeanCast_myl216_2,0,/model/block3.13/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl221_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x484x320
115,__myl_Add_myl221_8,0,/model/block3.14/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.14/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.14/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.14/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
116,__myl_FcAdd_myl221_5,0,/model/block3.14/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6251 + ONNXTRT_Broadcast_2389.../model/block3.15/attn/Transpose_1 + /model/block3.15/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl225_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6251 + ONNXTRT_Broadcast_2389.../model/block3.15/attn/Transpose_1 + /model/block3.15/attn/Reshape_1]},Float,1x484x320
117,__myl_AddSqrtDivMulMulAddTranReshCast_myl225_3,1,/model/block3.15/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.15/attn/q/MatMul_myl230_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x484x320
118,/model/block3.15/attn/sr/Conv,0,/model/block3.15/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl230_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x320x11x11
119,__myl_CastAddMeanSubMulMeanCast_myl225_2,0,/model/block3.14/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl230_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x484x320
120,__myl_Add_myl230_8,0,/model/block3.15/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.15/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.15/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.15/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
121,__myl_FcAdd_myl230_5,0,/model/block3.15/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6285 + ONNXTRT_Broadcast_2485.../model/block3.16/attn/Transpose_1 + /model/block3.16/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl234_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6285 + ONNXTRT_Broadcast_2485.../model/block3.16/attn/Transpose_1 + /model/block3.16/attn/Reshape_1]},Float,1x484x320
122,__myl_AddSqrtDivMulMulAddTranReshCast_myl234_3,1,/model/block3.16/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.16/attn/q/MatMul_myl239_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x484x320
123,/model/block3.16/attn/sr/Conv,0,/model/block3.16/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl239_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x320x11x11
124,__myl_CastAddMeanSubMulMeanCast_myl234_2,0,/model/block3.15/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl239_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x484x320
125,__myl_Add_myl239_8,0,/model/block3.16/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.16/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.16/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.16/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
126,__myl_FcAdd_myl239_5,0,/model/block3.16/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6319 + ONNXTRT_Broadcast_2581.../model/block3.17/attn/Transpose_1 + /model/block3.17/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl243_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6319 + ONNXTRT_Broadcast_2581.../model/block3.17/attn/Transpose_1 + /model/block3.17/attn/Reshape_1]},Float,1x484x320
127,__myl_AddSqrtDivMulMulAddTranReshCast_myl243_3,1,/model/block3.17/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.17/attn/q/MatMul_myl248_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x484x320
