copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
17,__myl_CastAddMeanSubMulMeanCast_myl39_2,0,/model/block1.1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 3 to {ForeignNode[/model/block1.2/attn/Add.../model/block1.2/mlp/dwconv/Transpose + /model/block1.2/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl44_5,0,Reformatted Input Tensor 3 to {ForeignNode[/model/block1.2/attn/Add.../model/block1.2/mlp/dwconv/Transpose + /model/block1.2/mlp/dwconv/Reshape]},Half,1x7744x64
18,__myl_Add_myl44_8,0,/model/block1.2/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block1.2/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block1.2/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block1.2/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x256x88x88
19,__myl_FcAdd_myl44_5,0,/model/block1.2/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMean_myl48_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Float,1x7744x64
20,__myl_AddSqrtDivMulMulAddReshTran_myl48_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed2/proj/Conv,0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,1x64x88x88
20,__myl_AddSqrtDivMulMulAddReshTran_myl48_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,"Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,1x64x88x88
20,__myl_AddSqrtDivMulMulAddReshTran_myl48_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM1/Add),0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,1x64x88x88
20,__myl_AddSqrtDivMulMulAddReshTran_myl48_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to /model/decoder/FEM1/conv3/Conv + /model/decoder/FEM1/Add_1,0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,1x64x88x88
21,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed2/proj/Conv,Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,/model/patch_embed2/proj/Conv,0,Reformatted Input Tensor 0 to /model/patch_embed2/proj/Conv,Channel major FP16 format where channel % 8 == 0,1x64x88x88
22,__myl_AddSqrtDivMulMulAddTranReshCast_myl52_1,1,/model/block2.0/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block2.0/attn/q/MatMul_myl57_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Half,1x1936x128
23,/model/block2.0/attn/sr/Conv,0,/model/block2.0/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl57_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Half,1x128x11x11
24,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAddMeanSubMulMeanCast_myl52_0,2,/model/patch_embed2/norm/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl57_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5601 + ONNXTRT_Broadcast_525.../model/block2.0/mlp/dwconv/Transpose + /model/block2.0/mlp/dwconv/Reshape]},Half,1x1936x128
