copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
109,__myl_CastAddMeanSubMulMeanCast_myl209_2,0,/model/block3.12/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl214_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6184 + ONNXTRT_Broadcast_2209.../model/block3.13/mlp/dwconv/Transpose + /model/block3.13/mlp/dwconv/Reshape]},Half,1x484x320
110,__myl_Add_myl214_8,0,/model/block3.13/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.13/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.13/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.13/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
111,__myl_FcAdd_myl214_5,0,/model/block3.13/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.13.mlp.fc2.bias + ONNXTRT_Broadcast_2295.../model/block3.14/attn/Transpose_1 + /model/block3.14/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl218_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.13.mlp.fc2.bias + ONNXTRT_Broadcast_2295.../model/block3.14/attn/Transpose_1 + /model/block3.14/attn/Reshape_1]},Float,1x484x320
112,__myl_AddSqrtDivMulMulAddTranReshCast_myl218_3,1,/model/block3.14/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.14/attn/q/MatMul_myl223_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x484x320
113,/model/block3.14/attn/sr/Conv,0,/model/block3.14/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl223_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x320x11x11
114,__myl_CastAddMeanSubMulMeanCast_myl218_2,0,/model/block3.13/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl223_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6218 + ONNXTRT_Broadcast_2305.../model/block3.14/mlp/dwconv/Transpose + /model/block3.14/mlp/dwconv/Reshape]},Half,1x484x320
115,__myl_Add_myl223_8,0,/model/block3.14/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.14/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.14/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.14/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
116,__myl_FcAdd_myl223_5,0,/model/block3.14/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.14.mlp.fc2.bias + ONNXTRT_Broadcast_2391.../model/block3.15/attn/Transpose_1 + /model/block3.15/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl227_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.14.mlp.fc2.bias + ONNXTRT_Broadcast_2391.../model/block3.15/attn/Transpose_1 + /model/block3.15/attn/Reshape_1]},Float,1x484x320
117,__myl_AddSqrtDivMulMulAddTranReshCast_myl227_3,1,/model/block3.15/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.15/attn/q/MatMul_myl232_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x484x320
118,/model/block3.15/attn/sr/Conv,0,/model/block3.15/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl232_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x320x11x11
